player,winnings,preflop_actions,flop_actions,turn_actions,river_actions,bet_chips_preflop,bet_chips_flop,bet_chips_turn,bet_chips_river
ugin,0.0,fold,,,,0.0,0.0,0.0,0.0
emrakul,0.0,raise,,,,0.0,0.0,0.0,0.0
jesse,0.0,call|call,,,,0.0,0.0,0.0,0.0
ugin,-0.0,fold,,,,0.0,0.0,0.0,0.0
emrakul,-0.0,raise,fold,,,0.0,0.0,0.0,0.0
jesse,4.75,call|call,,,,0.0,0.0,0.0,0.0

ugin,0.0,call,,,,0.0,0.0,0.0,0.0
emrakul,0.0,fold,,,,0.0,0.0,0.0,0.0
jesse,0.0,raise,,,,0.0,0.0,0.0,0.0
ugin,0.0,call,raise,,,0.0,0.0,0.0,0.0
emrakul,0.0,fold,,,,0.0,0.0,0.0,0.0
jesse,0.0,raise,call,,,0.0,0.0,0.0,0.0
ugin,0.0,call,raise,fold,,0.0,0.0,0.0,0.0
emrakul,0.0,fold,,,,0.0,0.0,0.0,0.0
jesse,0.0,raise,call,,,0.0,0.0,0.0,0.0

ugin,0.0,call|raise,,,,0.0,0.0,0.0,0.0
emrakul,0.0,raise|call,,,,0.0,0.0,0.0,0.0
jesse,0.0,call|call|call,,,,0.0,0.0,0.0,0.0
ugin,0.0,call|raise,fold,,,0.0,0.0,0.0,0.0
emrakul,0.0,raise|call,check,,,0.0,0.0,0.0,0.0
jesse,0.0,call|call|call,check,,,0.0,0.0,0.0,0.0
ugin,0.0,call|raise,fold,,,0.0,0.0,0.0,0.0
emrakul,0.0,raise|call,check,fold,,0.0,0.0,0.0,0.0
jesse,0.0,call|call|call,check,check,,0.0,0.0,0.0,0.0
ugin,0.0,call|raise,fold,,,0.0,0.0,0.0,0.0
emrakul,0.0,raise|call,check,fold,,0.0,0.0,0.0,0.0
jesse,0.0,call|call|call,check,check,raise,0.0,0.0,0.0,0.0

ugin,0.0,fold,,,,0.0,0.0,0.0,0.0
emrakul,0.0,raise,,,,0.0,0.0,0.0,0.0
jesse,0.0,call|call,,,,0.0,0.0,0.0,0.0
ugin,0.0,fold,,,,0.0,0.0,0.0,0.0
emrakul,0.0,raise,fold,,,0.0,0.0,0.0,0.0
jesse,0.0,call|call,raise,,,0.0,0.0,0.0,0.0
ugin,0.0,raise,,,,0.0,0.0,0.0,0.0
emrakul,0.0,fold,,,,0.0,0.0,0.0,0.0
jesse,0.0,call|call,,,,0.0,0.0,0.0,0.0
ugin,0.0,raise,,,,2.75,0.0,0.0,0.0
emrakul,0.0,call,,,,2.75,0.0,0.0,0.0
jesse,0.0,call|call,,,,2.75,0.0,0.0,0.0
ugin,0.0,raise,raise,,,2.75,6.25,0.0,0.0
emrakul,0.0,call,call,,,2.75,6.25,0.0,0.0
jesse,0.0,call|call,call,,,2.75,6.25,0.0,0.0
ugin,0.0,raise,raise,check|fold,,2.75,6.25,6.25,0.0
emrakul,0.0,call,call,check|fold,,2.75,6.25,6.25,0.0
jesse,0.0,call|call,call,raise,,2.75,6.25,7.75,0.0
ugin,-0.0,raise,raise,check|fold,,2.75,6.25,6.25,0.0
emrakul,-0.0,call,call,check|fold,,2.75,6.25,6.25,0.0
jesse,28.0,call|call,call,raise,check,2.75,6.25,7.75,0.0

